,topic,query,rank,wid,batch,duration,EndDate,query_mean
88879844020,213,carpal tunnel syndrome,2,A1ZDR2UN7M92LI,red,534,2022-02-14 14:40:17,1.9111111111111112
89286010344,213,carpal tunnel syndrome,3,AWVLT2L5AP873,red,145,2022-02-14 14:08:35,1.9111111111111112
90360995021,213,carpal tunnel syndrome,1,AFU00NU09CFXE,red,222,2022-02-09 11:54:17,1.9111111111111112
91144424206,213,carpal tunnel syndrome,3,AUB2Y2EREGBUZ,red,214,2022-02-11 10:48:16,1.9111111111111112
91198495172,213,carpal tunnel syndrome,1,A20NJGHYKL73LC,red,216,2022-02-12 18:09:22,1.9111111111111112
91225263345,213,carpal tunnel syndrome,3,A150MDVC0C92OT,red,313,2022-02-14 14:16:26,1.9111111111111112
91630101620,213,carpal tunnel syndrome,1,A2EXM21XS6NZV5,red,169,2022-02-14 14:28:45,1.9111111111111112
93026743906,213,carpal tunnel syndrome,1,A1ATL3G98SFW4V,red,186,2022-02-14 15:13:31,1.9111111111111112
93155764718,213,carpal tunnel syndrome,3,A1P6LFEAY9MWAY,red,149,2022-02-14 14:49:13,1.9111111111111112
94294920470,213,carpal tunnel syndrome,3,A1FWICEOA9SNCB,red,654,2022-02-10 22:14:42,1.9111111111111112
94720094730,213,carpal tunnel syndrome,1,A1WTUFTRMUN5IR,red,117,2022-02-13 17:23:26,1.9111111111111112
97354941759,213,carpal tunnel syndrome,1,A1VMPZVVVZUCS4,red,169,2022-02-10 01:34:42,1.9111111111111112
99458784954,213,carpal tunnel syndrome,4,A13FTIHWW9GE8X,red,242,2022-02-14 14:07:38,1.9111111111111112
12404386894,213,what is carpal tunnel syndrome,1,A39MKVROUZ1UWR,red,204,2022-02-14 14:23:14,1.9333333333333333
12734195590,213,what is carpal tunnel syndrome,1,A1I0DV4B4MFQCL,red,286,2022-02-14 13:59:06,1.9333333333333333
13250011561,213,what is carpal tunnel syndrome,2,A23BWWRR7J5XLS,red,197,2022-02-13 13:04:05,1.9333333333333333
14107062271,213,what is carpal tunnel syndrome,1,A1CB72B51L7TKE,red,211,2022-02-14 14:42:31,1.9333333333333333
17248459875,213,what is carpal tunnel syndrome,1,A12R2U6TBB3OOG,red,299,2022-02-10 01:36:09,1.9333333333333333
20487957848,213,what is carpal tunnel syndrome,1,APRHR60T52KR9,red,454,2022-02-14 15:15:16,1.9333333333333333
21415754272,213,what is carpal tunnel syndrome,2,AOOLS8280CL0Z,red,570,2022-02-14 14:33:56,1.9333333333333333
21639419868,213,what is carpal tunnel syndrome,3,A3UJX60MALFMW0,red,248,2022-02-13 06:07:24,1.9333333333333333
